charity_number,name,activities,address,postcode,phone,email,website,income
206228,THE LONDON NATURAL HISTORY SOCIETY,"Members study and record the plants, birds, insects and other wildlife, and their habitats, in the London area, through field meetings, talks, and publications. The general public is welcome at all events. Grants are available to support research and the conservation of biodiversity.","LNHS Library, c/o Angela Marmont Centre, Natural History Museum, Cromwell Road, London",SW7 5BD,01920461541,secretary@lnhs.org.uk,http://www.lnhs.org.uk,32763
206252,EAST WICKHAM AND WELLING WAR MEMORIAL TRUST,"Grant giving charity and offering the following categories of grants to individuals or community based organisations within the boundaries of East Wickham and Welling: Capital Grants for Improvements to Premises, Grants Towards the Hire of Premises and Individual Grants for Character Building Courses or Expeditions.  The Trustees also offer an academic bursary.","PO BOX 628, WELLING, KENT",DA16 2TF,01,admin@ewt.org.uk,https://ewt.org.uk,21133
206278,GODMERSHAM RELIEF IN NEED CHARITY,"Grants made for the relief of hardship, towards the cost of extra curricular activities for school children and to help with the purchase of course material by further education students. Grants also made to local organizations such as the Brownie pack. Life-line alarm systems rented for the elderly.","Marden, Canterbury Road, Bilting, Ashford",TN25 4HE,01233812095,knuckeyjulie@gmail.com,,9015
206368,JESUS HOSPITAL,"THE CHARITY WAS FORMED TO PROVIDE ALMSHOUSES FOR 17 POOR PERSONS OF EITHER SEX, MARRIED OR UNMARRIED AND BEING MEMBERS OF THE CHURCH OF ENGLAND OF WHOM, AS NEARLY AS POSSIBLE, SIX SHALL BE WOMEN AND ELEVEN SHALL BE MEN.  ALMSPEOPLE SHALL HAVE RESIDED IN THE CITY OF CANTERBURY FOR NOT LESS THAN 7 YEARS AND SHALL BE PERSONS OF NOT LESS THAN 55 YEARS OF AGE.","2 Jesus Hospital, Sturry Road, Canterbury",CT1 1BS,01227421313,JHCWARDEN@OUTLOOK.COM,,78283
206370,BEXLEYHEATH AND DISTRICT CLUB FOR THE DISABLED,Social activities for elderly & physically disabled people.,"Club Hall, Barton Close, Bexleyheath",DA6 8JP,02083034826,bexleyheathdisabled@hotmail.com,,23055
206381,PAROCHIAL CHARITIES,"The charity provides assistance and financial relief in the payment of pressing debts, and the purchase of necessary items required for people eligible in the parish, often elderly, or single parents. Assistance can also be given for travelling expenses and the needs of children.","59 Westwood Road, Maidstone",ME15 6BG,07843227795,rozt59@gmail.com,,815
206394,BATTERSEA DOGS' AND CATS' HOME,"We aim never to turn away a dog or cat in need of help. We reunite lost dogs and cats with their owners; when we cannot do this, we care for them until new homes can be found for them; and we educate the public about responsible pet ownership.","BATTERSEA DOGS &amp; CATS HOME, 4 BATTERSEA PARK ROAD, LONDON",SW8 4AA,02076279000,info@battersea.org.uk,https://www.battersea.org.uk,70340000
206645,COMBINED CHARITIES OF H SLOYDEN AND J DURRANT,"We make grants to residents suffering hardship within the Parish of Littlebourne. We can be contacted directly, through members of the Parish Council, other residents or the vicar. A full report is given to residents including contact information at the annual parish meeting to which all residents are invited.","40 HIGH STREET, LITTLEBOURNE, CANTERBURY",CT3 1ST,01227728228,cllrgiles@littlebournepc.org,,141
206686,HILLS AND OTHER UNKNOWN DONORS,Donations to poor of parish,"Rushbrooke Farm, Pluckley, Ashford",TN27 0SD,01233840203,janetgwillim203@gmail.com,,880
206812,SMEED'S CHARITY,Aid for the poor of the parish of Tunstall,"Kreston Reeves, Montague Place, Quayside, Chatham Maritime, CHATHAM",ME4 4QU,01634899800,,,486
206817,CHARITY OF ANTHONY ROPER,"Provides grants gifts and donations to qualifying groups and individuals residing within the North West Kent Parishes of Farningham, Eynsford, Crockenhill, Horton Kirby and South Darenth.Does not carry out fund raising activities","Orchard End, Park Lane, Elham, CANTERBURY, Kent",CT4 6UR,01303840820,stanyonc@aol.com,https://roperscharity.com/,6053
206903,DAME MARY CHOWN'S CHARITY AND OTHER CHARITIES,The Charity gives financial assistance to the elderly in the Parish for specific needs and also makes an annual Fuel Gift in January of each year. A Christmas Lunch is given each year. The Charity has also supported other organisations involved with the elderly such as the Evergreen Club.,"Cobtree House, The Green, West Peckham, MAIDSTONE, Kent",ME18 5JW,07703306490,,,2019
206905,SIR EDWARD HALES' CHARITY (OTHERWISE KNOWN AS LEGGE FARM CHARITY),TO PROVIDE AN EMERGENCY FUND TOWARDS THE FINANCIAL SUPPORT OF ANY RESIDENT OF WOODCHURCH WHO IS GENUINELY IN NEED; TO HELP RELIEVE POVERTY AND HARDSHIP.,"C/o Woodchurch HUB, Front Road, Woodchurch, Kent",TN26 3PA,01233861381,ENQUIRIES@LEGGEFARMCHARITY.UK,https://www.woodchurchhub.uk/woodchurch-charities/,2252
206964,SAMUEL WILSON'S LOAN CHARITY,BENEFIT YOUNG PERSONS RECENTLY SET UP IN BUSINESS BY GRANTING LOANS AT A LOW RATE OF INTEREST.,"CHAMBER OF LONDON, PO BOX 270, GUILDHALL, LONDON",EC2P 2EJ,02073321350,SWLT.Submissions@cityoflondon.gov.uk,https://www.cityoflondon.gov.uk,89588
206989,WILLIAM DRAYTON'S CHARITY,Financial support for church,"4 Four Horseshoes Park,, Graveney, Faversham, Faversham, Kent",ME13 8HR,07432010367,janetipayne47@gmail.com,,0
206992,JOHN SMITH'S CHARITY,To assist with running of Ospringe Church,"4 Four Horseshoes Park, Seasalter Road, Graveney, FAVERSHAM",ME13 9DE,01795530854,janetipayne47@gmail.com,,0
207019,THE BETENSON TRUST,ownership and operation of almshouses,"Rookery Dene, Long Mill Lane, Platt, SEVENOAKS",TN15 8NA,01732885612,sallewell@gmail.com,,55571
207020,THE NEW COLLEGE OF COBHAM,Provision of sheltered housing for the elderly,"NEW COLLEGE OF COBHAM, COBHAMBURY ROAD, COBHAM, NR.GRAVESEND",DA12 3BG,01474812503,cobcol@btinternet.com,,238505
207021,THE FRIENDS OF KENT CHURCHES,Promotion of the preservation of churches in the County of Kent (pre April 1965 boundaries) and to help maintain in good order their fabric and fixtures of special importance and to provide the facilities necessary to keep them in use,"PARSONAGE FARM HOUSE, HAMPSTEAD LANE, YALDING, MAIDSTONE",ME18 6HG,01622815569,janebird01@gmail.com,https://www.friendsofkentchurches.co.uk/,222518
207064,ECCLESIASTICAL CHARITY OF SIR ROBERT BRETT,Religious activities,"13 Worcester Avenue, Kings Hill, WEST MALLING",ME19 4FL,01732845187,,,127
207078,CHARITIES OF EDWARD SEDGWICK AND SARA GODFREY,The Trust continues to operate locally. Fields and allotments are in use. The Trust Cottages are fully occupied.  Routine maintenance continues with local tradesmen employed.  Improvements to the general standard of housing quality have been carried out on a planned schedule to conform to current standards.  The Trust continuesto support disadvantaged residents and students within the Parish.,"11 Somerfield Barn Court, Main Road, Sellindge, ASHFORD",TN25 6JD,01303814235,,,39098
207100,THE WARDENS AND ASSISTANTS OF ROCHESTER BRIDGE IN THE COUNTY OF KENT,"The maintenance and improvement of two road bridges and a services bridge (known as Rochester Bridge).  Care of and access to archives and historical artefacts. The promotion of other charitable purposes through projects and the award of grants for education and research in engineering, agriculture & history; heritage structures; and charitable purposes connected to the River Medway.","Rochester Bridge Trust, St. Andrews House, The Precinct, ROCHESTER, Kent",ME1 1SU,01634846706,enquiries@rbt.org.uk,https://www.rbt.org.uk,3858749
207262,KNIGHT'S ALMSHOUSES,Housing elderly single women,"C/o Gravesham Borough Council, Civic Centre, Windmill Street, GRAVESEND, Kent",DA12 1AU,07368524888,knights.almshouses@hotmail.com,,33898
207304,THE MARY HOUGHAM ALMSHOUSES,"To procure, maintain  and let 12 Almshouses in Deal to aged and infirm Deal boatmen and subject thereto poor, aged and infirm persons who are inhabitants of the former Borough of Deal as constituted on  31 March 1974.To apply the income of the Charity  for the benefit of the occupants or any of them in such manner as the Trustees think fit from time to time.","61 Redsull Avenue, DEAL, Kent",CT14 9HE,07469353504,maryhoughamalmshouses@hotmail.co.uk,,81722
207438,THE TONBRIDGE TOWN LANDS AND RICHARD MYLLS CHARITY,Provision of local amenties in conjunction with Tonbridge & Malling Borough Council,"8 LECONFIELD CLOSE, TONBRIDGE",TN9 2QU,01732364465,roylesley91@gmail.com,,2863
207493,THE FIELD LANE FOUNDATION,"Field Lane supports highly vulnerable people to live as independently as possible; people with learning and other disabilities, families in crisis through homelessness and older people. Services of nursing care,domiciliary support and supported housing are available in London and the wider Southeast. Consultancy, back office and management support are offered for other charities in England.","Field Lane Foundation, Ground Floor, 85 Buckingham Gate, London",SW1E 6PD,02077480303,info@fieldlane.org.uk,https://www.fieldlane.org.uk,10552418
207602,JAMES TILLARD'S (ELEEMOSYNARY) CHARITY,Donations for relief of poverty.,"MEADOW VIEW, FAUSSETT HILL, STREET END, CANTERBURY",CT4 7AJ,01227 450497,b.young737@googlemail.com,https://no.websiteavailable,758
207764,CHARITY OF JANE COOPER FOR COAL,Makes heating grants to people in need,"ST. PETERS CHURCH, COLLEGE ROAD, SWANLEY",BR8 7RH,01322662320,,,393
207839,SHORNE UNITED CHARITIES,Making grants to individuals resident in Shorne Parish,"15 COURT LODGE, SHORNE, GRAVESEND",DA12 3EQ,01474823355,theresa_davies@hotmail.com,,642
207918,THE UNKNOWN DONOR'S OR HENDLEY'S CHARITY,Assisting with the care of elderly and the needy people in Maidstone BC,"The Granary Loft, 12 Foremans Walk, High Street, Headcorn, Ashford",TN27 9NE,01622890971,,,961
208015,CHARITY OF AMY TEMPLE,"Seven detached bungalows, each providing accommodation for one widow/spinster over the age of 60. The residents must be able to look after themselves.","Bay Cliffe House, Chapel Lane, St. Margarets-At-Cliffe, DOVER, Kent",CT15 6BL,07711073400,charityofamytemple@gmail.com,https://www.amytemplecharity.co.uk,39700
208111,"ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS KENT, ASHFORD, TENTERDEN AND DISTRICT BRANCH","Animal rescue, care and rehoming.","34 STATION ROAD, ASHFORD, KENT",TN23 1PH,01233641189,branch@rspca-ashforddistrict.org.uk,https://www.rspca-ashforddistrict.org.uk,268816
208258,FORDWICH UNITED CHARITIES,"Social, Educational, Heritage","14 Fordwich Road, Sturry, CANTERBURY, Kent",CT2 0BN,07941 631079,,,33877
208344,MORLEY TRUST,Generable charitable purposes including supporting village organisations and the poor,"BOMBERS COTTAGE, LOWER GREEN, LEIGH, TONBRIDGE",TN11 8RU,01732832714,,,675
208422,CHARITY OF COLONEL JOHN ROBERT CAMPBELL,PROVISION OF FINANCIAL HELP TO THOSE IN NEED IN THE PARISH OF CHARING AND NEIGHBOURHOOD,"APPLEWOOD, THE HILL, CHARING, ASHFORD",TN27 0LU,01233713894,,,1473
208455,THE COBTREE CHARITY TRUST LIMITED,"The principal activities during the year have been the continued maintenance, upkeep and development of Cobtree Manor Estate, and the support of charitable organisations within the area.","3 Thurnham Oast, Aldington Lane, Thurnham, MAIDSTONE",ME14 3LL,07769585553,cobtreecharitytrust@outlook.com,https://www.cobtreecharitytrust.org,185462
208586,BROOK AND HINXHILL VILLAGE HALL,The operation and upkeep of Brook and Hinxhill village hall through fund raising activities.,"Spelders Beck, Spelders Hill, Brook, ASHFORD, Kent",TN25 5PD,01233812279,chacomike@hotmail.com,https://www.brookvillagehall.org,9764
208705,CRISPE SCHOOL AND EXHIBITION FOUNDATION,"Makes grants to youth, 10 widows and youth organisations in the Parish of Birchington with Acol.","8 NURSERY FIELDS, ACOL, BIRCHINGTON",CT7 0JF,01843846651,the-crispe-charity@outlook.com,,4620
208780,JOHN SAMUEL NEWLYN,Making grants to individuals and organisations in Staplehurst Kent.,"1 VINE HOUSE, HIGH STREET, STAPLEHURST, TONBRIDGE",TN12 0AR,01580890360,greenacre@madasafish.com,,5713
208909,CHARITY FOR THE BENEFIT OF THE WESTERHAM RECREATION AND SPORTS CLUB OR FOR OTHER PURPOSES,,,,,,,
208940,"THE RED HOUSE, STEPNEY (INCORPORATED)","The company manages its freehold property, known as Hoppers, at Five Oak Green, Tonbridge, Kent. The premises are used by self-catering groups engaged in the relief of poverty from the East End of London and elsewhere","Hoppers, Five Oak Green Road, Five Oak Green, TONBRIDGE, Kent",TN12 6RL,07774640256,hoppersbookings@gmail.com,https://www.hopperskent.org,34990
209100,TONBRIDGE UNITED CHARITY,"Provision of accommodation for people ""who from age, ill health, accident or infirmity are wholly or in part unable to maintain themselves by their own exertions"".  The main activity is the management of the Five Gables cottages at Church Street, Tonbridge, Kent.","24 Haydens Mews, TONBRIDGE, Kent",TN9 1PZ,01732363163,tonbridgeunitedcharity@outlook.com,,36470
209188,ASHFORD PAROCHIAL CHARITIES,The maintenance and repair of the fabric of the Parish Church of Ashford as well as utilising the income to benefit the poor of Ashford,"115 Faversham Road, Kennington, Ashford",TN24 9DE,01233628999,lisawebb223@btinternet.com,,58258
209189,THE ASHFORD ALMSHOUSE CHARITY,"The object of the charity is to provide housing accommodation for poor persons of good character who are inhabitants of Ashford, Kent.","115 Faversham Road, Kennington, Ashford",TN24 9DE,01233628999,lisawebb223@btinternet.com,,70461
209190,THOMAS TREHEARNE CHARITY,FOR DESERVING POOR PARISHIONERS,"115 Faversham Road, Kennington, Ashford",TN24 9DE,01233628999,lisawebb223@btinternet.com,,0
209192,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS MEDWAY WEST BRANCH,"We provide subsidised veterinary treatment for animals owned by local people on low income. We take in and rehome unwanted, abandoned and stray animals.We respond to enquires from the public on a whole range of animal welfare issues. We also provide volunteering opportunities for those who wish to support our work, including trusteeship, fundraising and providing work experience placements.","174 Walderslade Road, Chatham",ME5 0PQ,01634681187,reception@rspcamedway.co.uk,https://www.rspcamedway.co.uk,159620
209193,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS KENT WEST BRANCH,Promote kindness and suppress cruelty to animals. We are actively involved in the  rescue and re-homing of cats and kittens in our branch area.,"8 HAWDEN CLOSE, HILDENBOROUGH, TONBRIDGE",TN11 9BP,01732 838758,treasurer@rspca-kentwest.org.uk,,33636
209210,THE BRASSEY TRUST,"The Brassey Trust owns and maintains The Brassey Centre in order to support the work of St Peter and St Paul's Church, Aylesford.","The Vicarage, Vicarage Close, AYLESFORD, Kent",ME20 7BB,01622717434,,,24811
209211,ELIZABETH HUGGINS COTTAGES CHARITY,To provide accommodation for persons who have served in the Armed Forces and the Merchant Navy and have been incapacitated in the service of the Crown. Persons applying for accommodation must meet the criteria stated and must also reside in the Borough of Gravesham.,"ELIZABETH HUGGINS COTTAGES CHARITY, C/O GRAVESHAM BOROUGH COUNCIL, COMMITTEE AND ELECTORAL SERVICES, CIVIC CENTRE, GRAVESEND",KENT,01474 337000,info@hugginscottages.org.uk,https://www.hugginscottages.org.uk,203282
209221,HOSPITALS OF ST BARTHOLOMEW AND ST JOHN,Provide accommodation through Almshouse,"LAWRENCE &amp; CO, 49 HIGH STREET, HYTHE",CT21 5AD,01303266022,,,50035
209243,PERRIN'S CHARITY,"For the residents of Wouldham near Rochester who:have lived in Wouldham for 10 years or moreare aged 70 years or overare known to be of good characterat the discretion of the Trustees, are known to be in need of financial assistance","Ringshill Farm,, WOULDHAM, ROCHESTER",ME1 3TP,07974657788,catherine@ringshillfarm.co.uk,https://www.PerrinsCharity,221
209247,THE ALMSHOUSE CHARITY OF WYNN ELLIS,"Providing accomodation for elderly people in Whitstable, Kent.","PO Box 1247, WHITSTABLE, Kent",CT1 9UT,07784476512,woottonchar63@gmail.com,,69791
209248,PETLEY AND DEAKINS ALMSHOUSE CHARITY,Almshouse with eight flats and two other flats in another building held as Almshouse flats,"13 Quarry Rise, TONBRIDGE, Kent",TN9 2PQ,07929 550214,petleyanddeakin@gmail.com,,50136
209365,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS KENT ISLE OF THANET BRANCH,"To promote the work and objects of the Royal Society for the Prevention of Cruelty to Animals (219099) with particular reference to the area of the branch, in accordance with the policies of the Society.","R S P C A, Isle Thanet Animal Centre, Queensdown Road, Woodchurch, BIRCHINGTON",CT7 0HG,01843826180,info@rspcathanet.org.uk,https://rspcathanet.org.uk,505876
209429,Friends of Hythe Dementia,The Charity gives grants to support those suffering with Dementia and their carers.,"20 Frampton Road, Hythe, Kent",CT21 6JP,01303862779,treasurer.friendshythedementia@gmail.com,,1813
209446,HAMPTON COTTAGES CHARITY,Almshouse charity providing housing for needy elderly parishioners of Knockholt and Halstead in Kent.,"Verrington House, Old London Road, Knockholt, SEVENOAKS, Kent",TN14 7LU,07765015407,hubblecaroline3@gmail.com,,52798
209461,THE WAKEFIELD BEQUEST,"Small grants to persons in need, resident in the Borough of Hythe, Kent","Hythe Town Council, Council Offices, Oaklands, 1 Stade Street, HYTHE",CT21 6BG,01303266152,admin@hythe-tc.gov.uk,https://www.hythetc.kentparishes.gov.uk/charities/,1275
209504,BIDDENDEN CONSOLIDATED CHARITY,See Below,"72 North Street, Biddenden, Ashford",TN27 8AS,01580291658,tglupton@gmail.com,,16204
209529,EMMA SIMMONS TRUST,The Charity manages ten almshouses in Napleton Road in Ramsgate.,"2 Coastguard Cottages, Pegwell, RAMSGATE, Kent",CT11 0NH,01843 584547,randall615@talktalk.net,,15853
209580,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS KENT FOLKESTONE AND DISTRICT BRANCH,"We operate a veterinary clinic for those on benefits in Folkestone and the surrounding area. This clinic is based at Anna House, 3 Sandgate Hill, Folkestone, CT20 2JF. We also support neutering and microchipping in the area. The branch also provides pet food, at two local food banks.","RSPCA Kent-Folkestone&amp; District, Henwood House, Henwood, ASHFORD, Kent",TN24 8DH,07936911613,Folkestonedistrictrspca@gmail.com,https://www.rspcafolkestone.org.uk,36310
209598,SIR EDMUND GREGORY SAMSON BURFORD ALFRED MANNERINGS KEMSLEY CHATHAM SICK POOR FUND,Grants for goods and services in relief of poverty are made to families and individuals in need.  Applications on behalf of beneficiaries are considered from professionals and others working within the community.  Benefits are confined to beneficiaries residing in the former Borough of CHATHAM.,"2 Delce Road, ROCHESTER, Kent",ME1 2BU,07976258952,chathamcharities@gmail.com,https://chathamcharities.org,37168
209602,CHARLES AMHERST'S ALMSHOUSES,Maintenance of almshouses for elderly residents.,"7 Batchelors, Pembury, Tunbridge Wells, Kent",TN2 4ED,01892822936,nigelmstratton@gmail.com,,33223
209620,DAVIS OAKLANDS CHARITABLE GIFT,"Provision and maintenance of buildings and grounds at Oaklands, Stade Street, Hythe for the purpose of local council offices, local history room, museum, art, culture,sport and recreation.","Hythe Town Council, Council Offices, Oaklands, 1 Stade Street, HYTHE",,01303266152,admin@hythe-tc.gov.uk,https://www.hythetc.kentparishes.gov.uk/charities/,0
209682,CRANBROOK AID IN SICKNESS FUND,Monthly distributions to beneficiaries.,"6 Badgers Mews, Dr Hopes Road, CRANBROOK, Kent",TN17 3EQ,01580715940,ceupton@btinternet.com,,1391
209751,THE LORD KITCHENER MEMORIAL HOMES TRUST,"The purpose of the charity is to provide Almshouse accommodation for people who are in need and who live (or have lived) in the Borough of Medway, with preference given to those who have served in the Armed Forces and their dependents. Furthermore, the objects of the charity are such charitable purposes for the benefit of the residents as the trustee decides.","M H S HOMES, BROADSIDE, LEVIATHAN WAY, CHATHAM MARITIME, CHATHAM",ME4 4LL,01634354167,executivesupport@mhs.org.uk,https://www.mhs.org.uk,41931
209787,C J GALLARD'S ALMSHOUSES,"Provision and maintenance of Almshouses' flats, and support, to elderly and needy people from the Borough of Tunbridge Wells in Kent.","27 Gallards Almshouses, London Road, Southborough, TUNBRIDGE WELLS",TN4 0NB,01892539758,clerk@gallards.co.uk,http://www.gallards.co.uk,259878
209827,SUNDRIDGE VILLAGE HALL,"Provision of community space, in the form of a village Hall.","Sundridge Village Hall, 203 Main Road, Sundridge, SEVENOAKS, Kent",TN14 6EJ,07495962372,clerk@sundridgewithidehill-pc.gov.uk,,0
209906,THE GWYN CHARITY,"Subject to payment of expenses, the income of the charity is for paying pensions. The qualification of pensioners being: poor persons of good character of not less than 60 years of age and who have resided in the area of the former borough of Ramsgate for not less than five years next preceding the time of appointment.","41, Fairfield Road, RAMSGATE,, KENT.",CT11 7BD,01843 597061,gwenton@sky.com,,5765
209907,THE MITCHELL AND DARLING BUNGALOWS,Provision of living accommodation in the form of almshouses.,"Dudley Gore & Co, 50 Queen Street, RAMSGATE, Kent",CT11 9EE,01843594651,rmd@danielandedwards.co.uk,,11569
209913,FARNINGHAM UNITED CHARITIES,we make grants to individuals and organisations to support education and training,"THE GARDEN HOUSE, BEESFIELD LANE, FARNINGHAM, DARTFORD",DA4 0BZ,01322862330,vivienneparker@aol.com,https://None,818
210062,RAMSGATE CHARITIES,For the general benefit of poor persons at the discretion of the Trustees,"7 Rugby Close, BROADSTAIRS, Kent",CT10 2XA,07884977707,,,431
210070,WYE ALMSHOUSE CHARITY,Housing for people in need with priority given to the elderly or a close connection to Wye.,"57 Oxenturn Road, Wye, ASHFORD",TN25 5AY,07743138273,WYEALMSHOUSE@BTINTERNET.COM,,38910
210092,ELEEMOSYNARY CHARITY OF WILLIAM THATCHER,Distribution to elderly of Bredgar at Christmas.,"Rose Cottage, The Street, Bredgar, SITTINGBOURNE",ME9 8EX,01622884601,hubble1989@gmail.com,,228
210136,JERE GREENLAND'S CHARITY,Relief of poverty within the parish of Wittersham,"3 GOLDSMITH COURT, TENTERDEN",TN30 7AW,01797740264,,,869
210138,JOHN FOCHE AND CUSHIRE'S CHARITIES,Gives gifts of food hampers to elderley people in the parish,"Homestead Farm, Homestead Lane, East Studdal, Dover",CT15 5BN,01304375142,VERONICAHARROP66@GMAIL.COM,,541
210139,STEPHEN BIGGE'S CHARITY,administering grants to local people for help with studying and hardship,"108 Beltinge Road, Herne Bay, Kent",CT6 6HW,01227364857,stephen.bigges.charity@gmail.com,,1344
210234,LEAGUE OF FRIENDS OF THE QUEEN ELIZABETH THE QUEEN MOTHER HOSPITAL,"The object of the League is to relieve patients of the Hospital who are sick, convalescent, disabled, handicapped or infirm and, generally to support the charitable work of the above Hospital.","LEAGUE OF FRIENDS OFFICE, QUEEN ELIZABETH, THE QUEEN MOTHER HOSPITAL, ST PETERS ROAD, MARGATE KENT",CT9 4AN,01843234507,qeqmfriends@gmail.com,http://www.qeqmfriends.com,163733
210236,JOHN HULSE,"Investment income is distributed to the elderly and to persons over the age of 18 still in fulltime education once a year, and persons in difficulty are able to apply for assistance at any time.","69 The Street, Newnham, SITTINGBOURNE",ME9 0LW,01795890431,thehempstocks@gmail.com,,3200
210336,HUGGENS'S COLLEGE,"The principal objective of the Charity is to provide almshouse accommodation for persons who meet its entry criteria which include provisions relating to age, financial resources and acceptance of Christian values.","6 Cross Green, BASILDON, Essex",SS16 5QW,07403599792,secretary@huggenscollege.org,http://www.huggenscollege.org,256537
210339,DARTFORD ALMSHOUSE CHARITY,Provision of Almshouse accommodation to the elderly and needy.,"Flat 1, Loam Court, Meadowside, Dartford",DA1 2RY,01322272800,clerktodac@tiscali.co.uk,,315152
210365,THE HENRY PINNOCK AND VICTORIA AND ALBERT MEMORIAL CHARITY,Provision of Almshouse accomodation,"The Lodge, St. Thomas's Almshouses, Old Road West, GRAVESEND, Kent",DA11 7LA,07745 524164,emma.pannell@pinnocks.org,https://www.pinnocks.org,1490458
210458,UNKNOWN DONOR,To provide small grants to either the poor or to such deserving and necessitous persons resident in the ancient parish of Newington next Hythe as the trustees select.,"1 Old Post Office Mews, HYTHE, Kent",CT21 5AY,01303237831,crispin.davies46@gmail.com,,177
210459,DENCE AND WELLER CHARITIES,"Annual distribution of grocery vouchers for the long term elderly parishioners of Cranbrook and Sissinghurst, Kent.","18 BROOKSIDE, CRANBROOK",TN17 3BU,01580714768,,,2684
210463,ALMSHOUSE CHARITY OF ELIZABETH SMITH,The Charity is an Almshouse providing ten properties to house single people in the Parish of East Malling,"Anchor Hanover Group, 2 Godwin Street, BRADFORD, West Yorkshire",BD1 2ST,0800 731 2020,AHGCoSec@anchor.org.uk,,94594
210464,THE ESTATE CHARITY OF THE REVEREND ROBERT GUNSLEY,The Charity's only asset was sold at auction in November 2007. The net proceeds were divided equally between the Maidstone and Rochester Relief in Need Charities in accordance with the scheme for the regulation of the Charity. The sale documentation included an overage provision in favour of the Estate Charity.,"MAIDSTONE BOROUGH COUNCIL, MAIDSTONE HOUSE, KING STREET, MAIDSTONE",ME15 6JQ,01622602030,debbiesnook@maidstone.gov.uk,,0
210473,THE NEWINGTON PARISH (WICKHAM) CHARITY,"The income of the charity is granted to Newington Groups, organisations and individuals following consideration by the Trustees. The beneficiaries are required to demonstrate a charitable need for the funds and the grants are not given to relieve public funds.","1 STATION ROAD, NEWINGTON, SITTINGBOURNE",ME9 7JS,07790625501,nwtcharity24@gmail.com,,2094
