id,title,slug,url,organisation,organisation_url,email,phone,website,address,postcode,price,categories,description,excerpt,date,modified
,Confident Road Cycling (Tunbridge Wells),confident-road-cycling-tunbridge-wells,https://involvekent.org.uk/directory/confident-road-cycling-tunbridge-wells/,Adult Cycle Training Telephone 03000 422250,https://involvekent.org.uk/directory_entry_organisation/adult-cycle-training/,cycletraining@kent.gov.uk,03000 422250,,"St Johns park, Beltring Rd, Tunbridge Wells, TN4 9UA What we do This course is aimed at those who can ride a bicycle but want to gain more confidence before taking to the road. You can hire bicycles and helmets if you don’t have your own. The course will improve your cycling abilities and give you the skills and knowledge to share the road safely with other users. Each course runs for approximately 2 hours. We have bicycles and helmets available for hire.",TN4 9UA,Set Charge Organisation Adult Cycle Training Telephone 03000 422250 Email cycletraining@kent.gov.uk Organisation Adult Cycle Training,"Groups and Community Activities; Hobbies and interests; Skills, education and training; Support Services and Self-help",This course is aimed at those who can ride a bicycle but want to gain more confidence before taking to the road. You can hire bicycles and helmets if you don’t have your own. The course will improve your cycling abilities and give you the skills and knowledge to share the road safely with other users. Each course runs for approximately 2 hours. We have bicycles and helmets available for hire. Price Set Charge,,,
,Connect 55+,connect-55,https://involvekent.org.uk/directory/connect-55/,Involve Kent Telephone 03000 810 005,https://involvekent.org.uk/directory_entry_organisation/involve-kent/,,,,"Across West Kent and Dartford, Gravesham and Swanley What we do New service launching 1st April 2026! Our Connect 55+ service is specifically for people aged 55 and over. We can help you: ·        Find clear and reliable information and advice ·        Connect with local services in your community ·        Stay safe and independent at home If getting to social activities is difficult, we can register you for affordable local activities that we run or partner with. It’s a great way to meet new people and feel more connected. Please call, e-mail or complete the referral on our website for further information and to register.",,Free Organisation Involve Kent Telephone 03000 810 005 Email hello@involvekent.org.uk Organisation Involve Kent,"Advocacy and Information, advice and guidance; Groups and Community Activities; Peer and support groups; Social groups and coffee mornings; Support Services and Self-help","New service launching 1st April 2026! Our Connect 55+ service is specifically for people aged 55 and over. We can help you: ·        Find clear and reliable information and advice ·        Connect with local services in your community ·        Stay safe and independent at home If getting to social activities is difficult, we can register you for affordable local activities that we run or partner with. It’s a great way to meet new people and feel more connected. Please call, e-mail or complete the referral on our website for further information and to register. New service launching 1st April 2026! Our Connect 55+ service is specifically for people aged 55 and over. We can help you: ·        Find clear and reliable information and advice ·        Connect with local services in your community ·        Stay safe and independent at home If getting to social activities is difficult, we can register you for affordable local activities that we run or partner with. It’s a great way to meet new people and feel more connected. Please call, e-mail or complete the referral on our website for further information and to register. complete the referral on our website Price Free",,,
,Connect with Nature,connect-with-nature,https://involvekent.org.uk/directory/connect-with-nature/,Kent High Weald Partnership Email cmp@khwp.org.uk,https://involvekent.org.uk/directory_entry_organisation/kent-high-weald-partnership/,cmp@khwp.org.uk,,,"Online What we do An online wellbeing programme! If you love nature and would like to improve your wellbeing – join our free 8 week online group programme where we explore nature together in a friendly and relaxing setting. Enjoy connecting with nature and other like minded people through a series of 8 short online group sessions where we will discuss and learn about different nature-based topics in a relaxed and informal manner. In between the sessions you will have the option to take on small, easy, and enjoyable nature challenges set for you during the group discussion. This programme is open to anyone and courses run regularly throughout the year. For more information or to sign up please email cmp@khwp.org.uk",,Free Organisation Kent High Weald Partnership Email cmp@khwp.org.uk Organisation Kent High Weald Partnership,Animals and nature; Groups and Community Activities,"An online wellbeing programme! If you love nature and would like to improve your wellbeing – join our free 8 week online group programme where we explore nature together in a friendly and relaxing setting. Enjoy connecting with nature and other like minded people through a series of 8 short online group sessions where we will discuss and learn about different nature-based topics in a relaxed and informal manner. In between the sessions you will have the option to take on small, easy, and enjoyable nature challenges set for you during the group discussion. This programme is open to anyone and courses run regularly throughout the year. For more information or to sign up please email cmp@khwp.org.uk An online wellbeing programme! If you love nature and would like to improve your wellbeing – join our free 8 week online group programme where we explore nature together in a friendly and relaxing setting. Enjoy connecting with nature and other like minded people through a series of 8 short online group sessions where we will discuss and learn about different nature-based topics in a relaxed and informal manner. In between the sessions you will have the option to take on small, easy, and enjoyable nature challenges set for you during the group discussion. This programme is open to anyone and courses run regularly throughout the year. For more information or to sign up please email cmp@khwp.org.uk cmp@khwp.org.uk Price Free",,,
,Connect!,connect,https://involvekent.org.uk/directory/connect/,Involve Kent Telephone 03000 810 005,https://involvekent.org.uk/directory_entry_organisation/involve-kent/,,,,"Activities held County wide - Registered address: Involve Kent, 30, Turkey Court, Maidstone, ME14 5PP What we do Our Kent wide Short Breaks offer, Connect!, is available for neurodivergent children and young people aged 9-18. We provide a wide range of fun and inclusive activities that give children and their families the opportunity to have a break and meet others with shared experiences. You can find out more information and make a referral here.",ME14 5PP,There is a parental contribution of at least £4 per hour towards the activities.  This contribution does not cover the whole cost of providing the break or activity but is a contribution at a similar amount to what all parents would pay for children’s clubs and activities Organisation Involve Kent Telephone 03000 810 005 Email youth@involvekent.org.uk Organisation Involve Kent,Carers support; Groups and Community Activities; Hobbies and interests; Neurodivergent groups; Parent and family activities; Parent and family support; Support Services and Self-help,"Our Kent wide Short Breaks offer, Connect!, is available for neurodivergent children and young people aged 9-18. We provide a wide range of fun and inclusive activities that give children and their families the opportunity to have a break and meet others with shared experiences. You can find out more information and make a referral here. Our Kent wide Short Breaks offer, Connect!, is available for neurodivergent children and young people aged 9-18. We provide a wide range of fun and inclusive activities that give children and their families the opportunity to have a break and meet others with shared experiences. You can find out more information and make a referral here. Price There is a parental contribution of at least £4 per hour towards the activities.  This contribution does not cover the whole cost of providing the break or activity but is a contribution at a similar amount to what all parents would pay for children’s clubs and activities",,,
,Conservation Volunteering (North West Kent),conservation-volunteering-sevenoaks,https://involvekent.org.uk/directory/conservation-volunteering-sevenoaks/,North West Kent Countryside Partnership Telephone 03000 419956,https://involvekent.org.uk/directory_entry_organisation/north-west-kent-countryside-partnership/,lyndsay.wayman-rook@kent.gov.uk,03000 419956,,"Across North West Kent What we do A friendly volunteer group which carries out a range of practical conservation tasks, including pond creation, river enhancements, woodland coppicing, scrub clearance, building community gardens and much more. All training and equipment is provided. We have volunteering opportunities across Sevenoaks, Gravesham, Dartford and Bexley. Contact us to find out more!",,Free Organisation North West Kent Countryside Partnership Telephone 03000 419956 Email lyndsay.wayman-rook@kent.gov.uk Organisation North West Kent Countryside Partnership,Animals and nature; Groups and Community Activities; Volunteering groups,"A friendly volunteer group which carries out a range of practical conservation tasks, including pond creation, river enhancements, woodland coppicing, scrub clearance, building community gardens and much more. All training and equipment is provided. We have volunteering opportunities across Sevenoaks, Gravesham, Dartford and Bexley. Contact us to find out more! A friendly volunteer group which carries out a range of practical conservation tasks, including pond creation, river enhancements, woodland coppicing, scrub clearance, building community gardens and much more. All training and equipment is provided. We have volunteering opportunities across Sevenoaks, Gravesham, Dartford and Bexley. Contact us to find out more! Price Free",,,
,Volunteering for nature,conservation-volunteering,https://involvekent.org.uk/directory/conservation-volunteering/,Kent High Weald Partnership Email cmp@khwp.org.uk,https://involvekent.org.uk/directory_entry_organisation/kent-high-weald-partnership/,cmp@khwp.org.uk,,,"Dunorlan park, Barnetts wood , Hilbert wood, Southborough common, Cinderhill woods. What we do Kent High Weald Partnership runs a weekly volunteer programme at local nature reserves and greenspaces in and around Tunbridge Wells. Tasks vary throughout the seasons and include coppicing, hedge laying, tree planting, meadow management, boardwalk construction, and much more. Any adult over the age of 18 is welcome to volunteer and all tools, gloves, and instruction are provided so you do not require any previous experience. Tasks are every Wednesday and Thursday all year and run from 10am to 3pm across various sites. During the winter, hot drinks will be provided but all volunteers should provide their own lunch and drinking water. Suitable outdoor clothing and footwear is essential. All new volunteer must contact KHWP before attending using the contact details provided below. Please do not hesitate to contact us with any questions. Our volunteer group is very friendly and welcoming and we look forward to meeting you! Please contact us if you are interested in joining: cmp@khwp.org.uk",,Free Organisation Kent High Weald Partnership Email cmp@khwp.org.uk Organisation Kent High Weald Partnership,Animals and nature; Gardening; Groups and Community Activities; Volunteering groups,"Kent High Weald Partnership runs a weekly volunteer programme at local nature reserves and greenspaces in and around Tunbridge Wells. Tasks vary throughout the seasons and include coppicing, hedge laying, tree planting, meadow management, boardwalk construction, and much more. Any adult over the age of 18 is welcome to volunteer and all tools, gloves, and instruction are provided so you do not require any previous experience. Tasks are every Wednesday and Thursday all year and run from 10am to 3pm across various sites. During the winter, hot drinks will be provided but all volunteers should provide their own lunch and drinking water. Suitable outdoor clothing and footwear is essential. All new volunteer must contact KHWP before attending using the contact details provided below. Please do not hesitate to contact us with any questions. Our volunteer group is very friendly and welcoming and we look forward to meeting you! Please contact us if you are interested in joining: cmp@khwp.org.uk Kent High Weald Partnership runs a weekly volunteer programme at local nature reserves and greenspaces in and around Tunbridge Wells. Tasks vary throughout the seasons and include coppicing, hedge laying, tree planting, meadow management, boardwalk construction, and much more. Any adult over the age of 18 is welcome to volunteer and all tools, gloves, and instruction are provided so you do not require any previous experience. Tasks are every Wednesday and Thursday all year and run from 10am to 3pm across various sites. During the winter, hot drinks will be provided but all volunteers should provide their own lunch and drinking water. Suitable outdoor clothing and footwear is essential. All new volunteer must contact KHWP before attending using the contact details provided below. Please do not hesitate to contact us with any questions. Our volunteer group is very friendly and welcoming and we look forward to meeting you! Please contact us if you are interested in joining: cmp@khwp.org.uk Price Free",,,
,Cooking For Wellbeing,cooking-for-wellbeing,https://involvekent.org.uk/directory/cooking-for-wellbeing/,Blackthorn Trust Telephone 01622 828382,https://involvekent.org.uk/directory_entry_organisation/blackthorn-trust/,info@blackthorn.org.uk,01622 828382,,"Blackthron Trust, St Andrews Road, Maidstone, ME16 9AN What we do Manage your health from the inside out with this Cooking for Health & Wellbeing course. Held in our professional training kitchen at Blackthorn Trust, this 8-week program is designed for individuals living with diabetes, hypertension, or respiratory conditions. Under the guidance of our experienced chef, you will learn to create nutritious, seasonal meals—often using fresh produce grown at Blackthorn. Our chef will discuss your specific health goals with you before the course starts to ensure the recipes are tailored to your needs. You’ll learn how to cook healthy dishes on a budget and leave each week with recipe cards to share with your family. When? Please contact us for information about availability.",ME16 9AN,,"Groups and Community Activities; Hobbies and interests; Skills, education and training; Support Services and Self-help","Manage your health from the inside out with this Cooking for Health & Wellbeing course. Held in our professional training kitchen at Blackthorn Trust, this 8-week program is designed for individuals living with diabetes, hypertension, or respiratory conditions. Under the guidance of our experienced chef, you will learn to create nutritious, seasonal meals—often using fresh produce grown at Blackthorn. Our chef will discuss your specific health goals with you before the course starts to ensure the recipes are tailored to your needs. You’ll learn how to cook healthy dishes on a budget and leave each week with recipe cards to share with your family. When? Please contact us for information about availability. Manage your health from the inside out with this Cooking for Health & Wellbeing course. Held in our professional training kitchen at Blackthorn Trust, this 8-week program is designed for individuals living with diabetes, hypertension, or respiratory conditions. Under the guidance of our experienced chef, you will learn to create nutritious, seasonal meals—often using fresh produce grown at Blackthorn. Our chef will discuss your specific health goals with you before the course starts to ensure the recipes are tailored to your needs. You’ll learn how to cook healthy dishes on a budget and leave each week with recipe cards to share with your family. When? Please contact us for information about availability. Organisation Blackthorn Trust Telephone 01622 828382 Email info@blackthorn.org.uk Organisation Blackthorn Trust",,,
,Peer Support Crisis Group (PSCG),cooking-group,https://involvekent.org.uk/directory/cooking-group/,Take Off Telephone 01227788211,https://involvekent.org.uk/directory_entry_organisation/take-off/,referrals@takeoffworks.org,01227788211,,Virtual What we do Activity and talking groups for people with mental health problems. For prevention of crisis escalation and maintaining mental health. We can see anyone aged 16+ and this sessions runs online on Sunday evenings.,,Free Organisation Take Off Telephone 01227788211 Email referrals@takeoffworks.org Organisation Take Off,Groups and Community Activities; Peer and support groups; Support Services and Self-help,Activity and talking groups for people with mental health problems. For prevention of crisis escalation and maintaining mental health. We can see anyone aged 16+ and this sessions runs online on Sunday evenings. Price Free,,,
,Coping with Life Courses (Mental health and wellbeing),coping-with-life-courses,https://involvekent.org.uk/directory/coping-with-life-courses/,Mid Kent Mind Telephone 01622 692383,https://involvekent.org.uk/directory_entry_organisation/mid-kent-mind/,mindhelp@mmkmind.org.uk,01622 692383,,Virtual What we do Our Coping with Life courses are structured 3-week courses which provide a safe space and time where you can learn more about common areas of mental health whilst also empowering you to develop positive coping strategies which can help you to pro-actively manage your own mental health and wellbeing. Participants must be registered via Live Well Kent to attend these sessions – but we are happy to discuss any queries you may have about registration to support you with engaging in these sessions.,,Free Organisation Mid Kent Mind Telephone 01622 692383 Email mindhelp@mmkmind.org.uk Organisation Mid Kent Mind,"Health; Mental Health; Skills, education and training; Support Services and Self-help",Our Coping with Life courses are structured 3-week courses which provide a safe space and time where you can learn more about common areas of mental health whilst also empowering you to develop positive coping strategies which can help you to pro-actively manage your own mental health and wellbeing. Participants must be registered via Live Well Kent to attend these sessions – but we are happy to discuss any queries you may have about registration to support you with engaging in these sessions. Our Coping with Life courses are structured 3-week courses which provide a safe space and time where you can learn more about common areas of mental health whilst also empowering you to develop positive coping strategies which can help you to pro-actively manage your own mental health and wellbeing. Participants must be registered via Live Well Kent to attend these sessions – but we are happy to discuss any queries you may have about registration to support you with engaging in these sessions. Price Free,,,
,Coping With Life DGS,coping-with-life-dgs,https://involvekent.org.uk/directory/coping-with-life-dgs/,North Kent Mind Telephone 01322 291380,https://involvekent.org.uk/directory_entry_organisation/north-kent-mind/,wellbeing@northkentmind.co.uk,01322 291380,,"Dartford, Gravesend, Swanley What we do Managing Depression Our 6-week Managing Depression course will focus on understanding depression and its interrelationship with our emotions, thoughts and behaviours, what we can do to challenge our negative thoughts and tips to staying well and maintaining our mental wellbeing. Managing Anxiety Over the course of 6 weeks, we will be working to understand anxiety, how it affects our daily routine and how we can empower ourselves to regain control over our emotions and challenge our anxiety. We will also be looking at ways to improve our self-esteem, improve our problem solving skills and relaxation skills to maintain mental wellbeing. Improving Self-Esteem, Confidence & Assertiveness A 6-week course centred around understanding what causes and maintains low self-esteem, how to improve our own self-worth, gain more confidence and teach strategies to become more assertive, such as learning how to say no and not be taken advantage of. Our course teaches participants how low self-esteem can result in poor mental wellbeing, poor decision making and destructive relationships and the skills we need to break that cycle. Stress Management and Relaxation Techniques During our 6 week course, we will be looking at practising relaxation techniques, how we can apply strategies into our daily routine and how to identifying the root causes of our stressors, such as work, family, health, finances, the things that affect us all, and how we can manage stress more effectively. Mindfulness Mindfulness is a concept that allows us to pay attention to the present, rather than being stuck in the past or worrying about the future. Over 6 weeks, we will learn how to apply mindfulness into our everyday life, understanding our thoughts and feelings and learning how to pay attention to the world around us. Mental Wellbeing Matters We would go to the doctors if we had a poor physical health, so why do we struggle when it comes to our mental health? Mental Wellbeing Matters is a new course focused around our mental wellbeing, how we maintain good mental health, looking into empowerment, resilience, self-care and self-expression.",,Free Organisation North Kent Mind Telephone 01322 291380 Email wellbeing@northkentmind.co.uk Organisation North Kent Mind,Health; Mental Health,"Managing Depression Our 6-week Managing Depression course will focus on understanding depression and its interrelationship with our emotions, thoughts and behaviours, what we can do to challenge our negative thoughts and tips to staying well and maintaining our mental wellbeing. Managing Anxiety Over the course of 6 weeks, we will be working to understand anxiety, how it affects our daily routine and how we can empower ourselves to regain control over our emotions and challenge our anxiety. We will also be looking at ways to improve our self-esteem, improve our problem solving skills and relaxation skills to maintain mental wellbeing. Improving Self-Esteem, Confidence & Assertiveness A 6-week course centred around understanding what causes and maintains low self-esteem, how to improve our own self-worth, gain more confidence and teach strategies to become more assertive, such as learning how to say no and not be taken advantage of. Our course teaches participants how low self-esteem can result in poor mental wellbeing, poor decision making and destructive relationships and the skills we need to break that cycle. Stress Management and Relaxation Techniques During our 6 week course, we will be looking at practising relaxation techniques, how we can apply strategies into our daily routine and how to identifying the root causes of our stressors, such as work, family, health, finances, the things that affect us all, and how we can manage stress more effectively. Mindfulness Mindfulness is a concept that allows us to pay attention to the present, rather than being stuck in the past or worrying about the future. Over 6 weeks, we will learn how to apply mindfulness into our everyday life, understanding our thoughts and feelings and learning how to pay attention to the world around us. Mental Wellbeing Matters We would go to the doctors if we had a poor physical health, so why do we struggle when it comes to our mental health? Mental Wellbeing Matters is a new course focused around our mental wellbeing, how we maintain good mental health, looking into empowerment, resilience, self-care and self-expression. Managing Depression Our 6-week Managing Depression course will focus on understanding depression and its interrelationship with our emotions, thoughts and behaviours, what we can do to challenge our negative thoughts and tips to staying well and maintaining our mental wellbeing. Managing Anxiety Over the course of 6 weeks, we will be working to understand anxiety, how it affects our daily routine and how we can empower ourselves to regain control over our emotions and challenge our anxiety. We will also be looking at ways to improve our self-esteem, improve our problem solving skills and relaxation skills to maintain mental wellbeing. Improving Self-Esteem, Confidence & Assertiveness A 6-week course centred around understanding what causes and maintains low self-esteem, how to improve our own self-worth, gain more confidence and teach strategies to become more assertive, such as learning how to say no and not be taken advantage of. Our course teaches participants how low self-esteem can result in poor mental wellbeing, poor decision making and destructive relationships and the skills we need to break that cycle. Stress Management and Relaxation Techniques During our 6 week course, we will be looking at practising relaxation techniques, how we can apply strategies into our daily routine and how to identifying the root causes of our stressors, such as work, family, health, finances, the things that affect us all, and how we can manage stress more effectively. Mindfulness Mindfulness is a concept that allows us to pay attention to the present, rather than being stuck in the past or worrying about the future. Over 6 weeks, we will learn how to apply mindfulness into our everyday life, understanding our thoughts and feelings and learning how to pay attention to the world around us. Mental Wellbeing Matters We would go to the doctors if we had a poor physical health, so why do we struggle when it comes to our mental health? Mental Wellbeing Matters is a new course focused around our mental wellbeing, how we maintain good mental health, looking into empowerment, resilience, self-care and self-expression. Price Free",,,
,Coping With Life Medway,coping-with-life-medway,https://involvekent.org.uk/directory/coping-with-life-medway/,North Kent Mind Telephone 01322 291380,https://involvekent.org.uk/directory_entry_organisation/north-kent-mind/,wellbeing@northkentmind.co.uk,01322 291380,,"Medway What we do Managing Depression Our 6-week Managing Depression course will focus on understanding depression and its interrelationship with our emotions, thoughts and behaviours, what we can do to challenge our negative thoughts and tips to staying well and maintaining our mental wellbeing. Managing Anxiety Over the course of 6 weeks, we will be working to understand anxiety, how it affects our daily routine and how we can empower ourselves to regain control over our emotions and challenge our anxiety. We will also be looking at ways to improve our self-esteem, improve our problem solving skills and relaxation skills to maintain mental wellbeing. Improving Self-Esteem, Confidence & Assertiveness A 6-week course centred around understanding what causes and maintains low self-esteem, how to improve our own self-worth, gain more confidence and teach strategies to become more assertive, such as learning how to say no and not be taken advantage of. Our course teaches participants how low self-esteem can result in poor mental wellbeing, poor decision making and destructive relationships and the skills we need to break that cycle. Stress Management and Relaxation Techniques During our 6 week course, we will be looking at practising relaxation techniques, how we can apply strategies into our daily routine and how to identifying the root causes of our stressors, such as work, family, health, finances, the things that affect us all, and how we can manage stress more effectively. Mindfulness Mindfulness is a concept that allows us to pay attention to the present, rather than being stuck in the past or worrying about the future. Over 6 weeks, we will learn how to apply mindfulness into our everyday life, understanding our thoughts and feelings and learning how to pay attention to the world around us.",,Free Organisation North Kent Mind Telephone 01322 291380 Email wellbeing@northkentmind.co.uk Organisation North Kent Mind,Health; Mental Health,"Managing Depression Our 6-week Managing Depression course will focus on understanding depression and its interrelationship with our emotions, thoughts and behaviours, what we can do to challenge our negative thoughts and tips to staying well and maintaining our mental wellbeing. Managing Anxiety Over the course of 6 weeks, we will be working to understand anxiety, how it affects our daily routine and how we can empower ourselves to regain control over our emotions and challenge our anxiety. We will also be looking at ways to improve our self-esteem, improve our problem solving skills and relaxation skills to maintain mental wellbeing. Improving Self-Esteem, Confidence & Assertiveness A 6-week course centred around understanding what causes and maintains low self-esteem, how to improve our own self-worth, gain more confidence and teach strategies to become more assertive, such as learning how to say no and not be taken advantage of. Our course teaches participants how low self-esteem can result in poor mental wellbeing, poor decision making and destructive relationships and the skills we need to break that cycle. Stress Management and Relaxation Techniques During our 6 week course, we will be looking at practising relaxation techniques, how we can apply strategies into our daily routine and how to identifying the root causes of our stressors, such as work, family, health, finances, the things that affect us all, and how we can manage stress more effectively. Mindfulness Mindfulness is a concept that allows us to pay attention to the present, rather than being stuck in the past or worrying about the future. Over 6 weeks, we will learn how to apply mindfulness into our everyday life, understanding our thoughts and feelings and learning how to pay attention to the world around us. Managing Depression Our 6-week Managing Depression course will focus on understanding depression and its interrelationship with our emotions, thoughts and behaviours, what we can do to challenge our negative thoughts and tips to staying well and maintaining our mental wellbeing. Managing Anxiety Over the course of 6 weeks, we will be working to understand anxiety, how it affects our daily routine and how we can empower ourselves to regain control over our emotions and challenge our anxiety. We will also be looking at ways to improve our self-esteem, improve our problem solving skills and relaxation skills to maintain mental wellbeing. Improving Self-Esteem, Confidence & Assertiveness A 6-week course centred around understanding what causes and maintains low self-esteem, how to improve our own self-worth, gain more confidence and teach strategies to become more assertive, such as learning how to say no and not be taken advantage of. Our course teaches participants how low self-esteem can result in poor mental wellbeing, poor decision making and destructive relationships and the skills we need to break that cycle. Stress Management and Relaxation Techniques During our 6 week course, we will be looking at practising relaxation techniques, how we can apply strategies into our daily routine and how to identifying the root causes of our stressors, such as work, family, health, finances, the things that affect us all, and how we can manage stress more effectively. Mindfulness Mindfulness is a concept that allows us to pay attention to the present, rather than being stuck in the past or worrying about the future. Over 6 weeks, we will learn how to apply mindfulness into our everyday life, understanding our thoughts and feelings and learning how to pay attention to the world around us. Price Free",,,
,Cottage Hospital,cottage-hospital,https://involvekent.org.uk/directory/cottage-hospital/,Hospice in the Weald Telephone 01892 820515,https://involvekent.org.uk/directory_entry_organisation/hospice-in-the-weald/,enquiries@hospiceintheweald.org.uk,01892 820515,,"Cottage Hospice, Five Ashes, Mayfield, TN20 6HY What we do Cottage Hospice is a home from home for patients and those important to them. At Cottage Hospice, patients are cared for by their loved ones (family caregivers), with support from Hospice staff and specially trained volunteers. Often, families are best placed to provide the care for their loved ones, but doing this at home can be daunting or distressing. At Cottage Hospice, families continue to care for their loved one in the same way that they would at home, but with extra support just outside their door 24 hours a day should they need it. Cottage Hospice is the first of its kind in the UK and has recently been awarded an Outstanding CQC rating.",TN20 6HY,Free Organisation Hospice in the Weald Telephone 01892 820515 Email enquiries@hospiceintheweald.org.uk Organisation Hospice in the Weald,Carers support; End of life; Support Services and Self-help,"Cottage Hospice is a home from home for patients and those important to them. At Cottage Hospice, patients are cared for by their loved ones (family caregivers), with support from Hospice staff and specially trained volunteers. Often, families are best placed to provide the care for their loved ones, but doing this at home can be daunting or distressing. At Cottage Hospice, families continue to care for their loved one in the same way that they would at home, but with extra support just outside their door 24 hours a day should they need it. Cottage Hospice is the first of its kind in the UK and has recently been awarded an Outstanding CQC rating. Cottage Hospice is a home from home for patients and those important to them. At Cottage Hospice, patients are cared for by their loved ones (family caregivers), with support from Hospice staff and specially trained volunteers. Often, families are best placed to provide the care for their loved ones, but doing this at home can be daunting or distressing. At Cottage Hospice, families continue to care for their loved one in the same way that they would at home, but with extra support just outside their door 24 hours a day should they need it. Cottage Hospice is the first of its kind in the UK and has recently been awarded an Outstanding CQC rating. Price Free",,,
,The Hospice in the Weald Counselling & Support Service,counselling-3,https://involvekent.org.uk/directory/counselling-3/,Hospice in the Weald Telephone 01892 820525,https://involvekent.org.uk/directory_entry_organisation/hospice-in-the-weald/,enquiries@hospiceintheweald.org.uk,01892 820525,,"Hospice in the Weald, Maidstone Road, Pembury, Tunbridge Wells, TN2 4TA What we do The Hospice in the Weald Counselling & Support Service offer their services free of charge to patients, families, and carers. If you are interested in counselling or would like to find out more you can contact us directly. Counselling sessions are 50 minutes long and usually take place weekly in one of our counselling rooms at the Hospice. However, we are a flexible service and the number and regularity of sessions can be discussed and arranged with you. Counsellors are required to make brief session notes and these are confidential within the organisation. This could only change if there is a risk of someone being harmed. However, this will always be discussed in a counselling session at the earliest opportunity. To book an introductory appointment, ring the Counselling & Support Service on 01892 820525.",TN2 4TA,Free Organisation Hospice in the Weald Telephone 01892 820525 Email enquiries@hospiceintheweald.org.uk Organisation Hospice in the Weald,Counselling; End of life; Support Services and Self-help,"The Hospice in the Weald Counselling & Support Service offer their services free of charge to patients, families, and carers. If you are interested in counselling or would like to find out more you can contact us directly. Counselling sessions are 50 minutes long and usually take place weekly in one of our counselling rooms at the Hospice. However, we are a flexible service and the number and regularity of sessions can be discussed and arranged with you. Counsellors are required to make brief session notes and these are confidential within the organisation. This could only change if there is a risk of someone being harmed. However, this will always be discussed in a counselling session at the earliest opportunity. To book an introductory appointment, ring the Counselling & Support Service on 01892 820525. The Hospice in the Weald Counselling & Support Service offer their services free of charge to patients, families, and carers. If you are interested in counselling or would like to find out more you can contact us directly. Counselling sessions are 50 minutes long and usually take place weekly in one of our counselling rooms at the Hospice. However, we are a flexible service and the number and regularity of sessions can be discussed and arranged with you. Counsellors are required to make brief session notes and these are confidential within the organisation. This could only change if there is a risk of someone being harmed. However, this will always be discussed in a counselling session at the earliest opportunity. To book an introductory appointment, ring the Counselling & Support Service on 01892 820525. Price Free",,,
,Affordable Counselling Service,counselling-5,https://involvekent.org.uk/directory/counselling-5/,The Counselling Centre Telephone 01892 548750,https://involvekent.org.uk/directory_entry_organisation/the-counselling-centre/,info@thecounsellingcentre.org.uk,01892 548750,,"London Road, 49, Richmond Terrace, Tunbridge Well, TN1 1DT What we do Providing affordable professional counselling in Kent and East Sussex.",TN1 1DT,Set charge Organisation The Counselling Centre Telephone 01892 548750 Email info@thecounsellingcentre.org.uk Organisation The Counselling Centre,Counselling; Support Services and Self-help,Providing affordable professional counselling in Kent and East Sussex. Price Set charge,,,
,Counselling at Kent Neuro Therapy Centre,counselling-at-kent-neuro-therapy-centre,https://involvekent.org.uk/directory/counselling-at-kent-neuro-therapy-centre/,Kent Neuro Therapy Centre Telephone 01227 470876,https://involvekent.org.uk/directory_entry_organisation/kent-neuro-therapy-centre/,info@kentneuro.org,01227 470876,,"Kent Neuro Therapy Centre, Bradbury House, Merton Lane (North), Canterbury, Kent, CT4 7DZ What we do 1:1 and peer support group sessions available When : Timings vary Where : Kent Neuro Therapy Centre Booking : Contact Kent Neuro Therapy Centre directly for more information",CT4 7DZ,,Health; Wellbeing,1:1 and peer support group sessions available When : Timings vary Where : Kent Neuro Therapy Centre Booking : Contact Kent Neuro Therapy Centre directly for more information 1:1 and peer support group sessions available When : Timings vary Where : Kent Neuro Therapy Centre Booking : Contact Kent Neuro Therapy Centre directly for more information Organisation Kent Neuro Therapy Centre Telephone 01227 470876 Email info@kentneuro.org Organisation Kent Neuro Therapy Centre,,,
,"Counselling for Children, Teens and Parents",counselling-for-children-teens-and-parents,https://involvekent.org.uk/directory/counselling-for-children-teens-and-parents/,Spurgeons Telephone 01892 538288,https://involvekent.org.uk/directory_entry_organisation/spurgeons/,info@spurgeons.org,01892 538288,,"St James Road, 160, Tunbridge Wells, TN1 2HE What we do Spurgeons Children’s Charity, is a Christian charity that provides a full range of professional counselling services online, in our centres, in schools, in GPs’ surgeries and in a variety of community settings. Our fully qualified counsellors work with children to enable them to manage their lives, build better relationships and make positive choices. We welcome referrals from schools, GPs or from the families themselves.",TN1 2HE,Set charge Organisation Spurgeons Telephone 01892 538288 Email info@spurgeons.org Organisation Spurgeons,Counselling; Support Services and Self-help,"Spurgeons Children’s Charity, is a Christian charity that provides a full range of professional counselling services online, in our centres, in schools, in GPs’ surgeries and in a variety of community settings. Our fully qualified counsellors work with children to enable them to manage their lives, build better relationships and make positive choices. We welcome referrals from schools, GPs or from the families themselves. Spurgeons Children’s Charity, is a Christian charity that provides a full range of professional counselling services online, in our centres, in schools, in GPs’ surgeries and in a variety of community settings. Our fully qualified counsellors work with children to enable them to manage their lives, build better relationships and make positive choices. We welcome referrals from schools, GPs or from the families themselves. Price Set charge",,,
